k,total_withinss,average_silhouette_width
2,6036.764964130327,0.2050810081325128
3,5472.070857091964,0.14143762112359076
4,5033.13092375076,0.15761104621540867
5,4674.544590597968,0.16444118012700937
6,4398.621068069325,0.15625860671060843
