class,precision,recall,support
overall_accuracy,0.7745664739884393,0.7745664739884393,173
majority_class_baseline,0.7572254335260116,0.7572254335260116,173
data scientist,0.8012820512820513,0.9541984732824428,131
analyst,0.5454545454545454,0.35294117647058826,17
data engineer,NA,0,14
mle,0.5,0.2727272727272727,11
