variable,non_missing_n,mean,median,sd,minimum,maximum
avg_salary,648,123.67901234567901,114,40.102327278087714,43,271
rating,648,3.6462962962962964,3.8,1.0962709808898208,0,5
company_age,541,36.478743068391864,21,40.948092831844384,1,239
